author,location,content,properties
"{""properties"":{""friends"":737,""verified"":false,""status_count"":58162}}","{""longitude"":-0.102162,""country"":""GB"",""latitude"":51.58792119344532}","{""body"":""Neither I'm a child of God so you wouldn't catch me at a party https://t.co/ddYA99Bohi""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":191,""verified"":false,""status_count"":681}}","{""longitude"":-3.9457349999999987,""country"":""GB"",""latitude"":51.644318675742966}","{""body"":""God forbid https://t.co/pQPNary01S""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":326,""verified"":false,""status_count"":5993}}","{""longitude"":-4.001617,""country"":""GB"",""latitude"":52.41214485808566}","{""body"":""Ross gave me vodka xxxxx""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":83,""verified"":false,""status_count"":5201}}","{""longitude"":-6.81351,""country"":""GB"",""latitude"":54.675050861728614}","{""body"":""@steapot Where did the material in the big bang come from ?""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":402,""verified"":true,""status_count"":11763}}","{""longitude"":-7.817142999999999,""country"":""GB"",""latitude"":54.4180191877115}","{""body"":""Coa are having a 24 hour cycle https://t.co/0UvQL1iFH0""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":524,""verified"":false,""status_count"":15345}}","{""longitude"":-1.2516219999999998,""country"":""GB"",""latitude"":53.08999325989027}","{""body"":""For £6 I could hardly resist. https://t.co/v9BNGnmlnS""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":618,""verified"":false,""status_count"":10322}}","{""longitude"":-5.471907999999999,""country"":""GB"",""latitude"":56.41082401940412}","{""body"":""... why are my dms fucked when i need opinions""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":373,""verified"":false,""status_count"":7863}}","{""longitude"":-0.9878955,""country"":""GB"",""latitude"":50.85834181389471}","{""body"":""I fucking love train""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":362,""verified"":false,""status_count"":5526}}","{""longitude"":-1.5900065,""country"":""GB"",""latitude"":54.8611977832619}","{""body"":""#Euro96 second only to #italia90""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":211,""verified"":false,""status_count"":47166}}","{""longitude"":-2.7016375000000004,""country"":""GB"",""latitude"":53.77411355102777}","{""body"":""why do people act like sex is soooo anti Islamic lol""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":2118,""verified"":false,""status_count"":27105}}","{""longitude"":-6.81351,""country"":""GB"",""latitude"":54.675050861728614}","{""body"":""@MaudMonaghan @lovenifood @InvestNI @buynifood @DukeSchomberg @MusgraveMPlace will have to work on that one x""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":738,""verified"":false,""status_count"":6066}}","{""longitude"":-0.5177915,""country"":""GB"",""latitude"":51.65070149402358}","{""body"":""@A_A_Ema YOU MISSED IT YOU FOOL""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":342,""verified"":false,""status_count"":20873}}","{""longitude"":-3.4576639999999994,""country"":""GB"",""latitude"":55.89300891503437}","{""body"":""I've had the worlds biggest nightmare with traffic today, fuckin buzzin to be back in EC ❤️❤️""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":536,""verified"":false,""status_count"":1634}}","{""longitude"":-4.42958,""country"":""GB"",""latitude"":55.78196180870279}","{""body"":""@xCo0kieMonsterX Really hope you get everything sorted. Lots of suppliers willing to help I'm 9 weeks. Raging doesn't even cover it.""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1584,""verified"":false,""status_count"":59471}}","{""longitude"":-0.1815875,""country"":""GB"",""latitude"":51.361915086985626}","{""body"":""Way too deep""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":237,""verified"":false,""status_count"":1514}}","{""longitude"":0.8865259999999997,""country"":""GB"",""latitude"":51.168097358153126}","{""body"":""That match against Holland in #Euro96 still remains one of the best I have ever seen England play.""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":476,""verified"":false,""status_count"":7412}}","{""longitude"":-3.6528690000000013,""country"":""GB"",""latitude"":51.616495409714645}","{""body"":""@brainsandblonde @DaveBuckley11 And free ale 🍻""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":575,""verified"":false,""status_count"":24198}}","{""longitude"":-1.2714555,""country"":""GB"",""latitude"":54.60276942508207}","{""body"":""My mood is 💩""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":614,""verified"":false,""status_count"":15879}}","{""longitude"":-1.9309830000000001,""country"":""GB"",""latitude"":52.297656565581015}","{""body"":""@Obv_AJ ok""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":279,""verified"":false,""status_count"":12639}}","{""longitude"":-0.7947960000000002,""country"":""GB"",""latitude"":54.13324841105607}","{""body"":""I won £3 on Bejeweled Hypercash https://t.co/sa0l0rLzvx #BetterChances #GameStore via @TNLUK 😀 https://t.co/399FKRVCxU""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1732,""verified"":false,""status_count"":22883}}","{""longitude"":-1.0945885000000002,""country"":""GB"",""latitude"":51.26283898419042}","{""body"":""@josh_fan_chomik Brb crying""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":772,""verified"":false,""status_count"":11307}}","{""longitude"":-3.0044560000000007,""country"":""GB"",""latitude"":53.469862766255794}","{""body"":""Nah this vine gets me every time  https://t.co/EAOcZ3qcma""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1508,""verified"":false,""status_count"":1187}}","{""longitude"":-4.142929999999999,""country"":""GB"",""latitude"":50.40223082859258}","{""body"":""I actually do tho👼🏼👑 not lying""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":887,""verified"":false,""status_count"":25621}}","{""longitude"":-0.09263300000000001,""country"":""GB"",""latitude"":51.35895133231162}","{""body"":""I'm CHOKINg shsjskakaj https://t.co/n41mFkNEdu""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":408,""verified"":false,""status_count"":8228}}","{""longitude"":-2.2334800000000006,""country"":""GB"",""latitude"":53.456983702037085}","{""body"":""Jose Mourinho pulls out of Soccer Aid match at Old Trafford - he wants to focus on commitments to Manchester United. #MUFC""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":119,""verified"":false,""status_count"":910}}","{""longitude"":-3.8359500000000004,""country"":""GB"",""latitude"":55.71049830139804}","{""body"":""@JeffreeStar is my life omg""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":303,""verified"":false,""status_count"":1611}}","{""longitude"":-0.252754,""country"":""GB"",""latitude"":51.39781057661456}","{""body"":""Still buzzing after that win tonight. That's why we are the champions. 🎱 👏""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":195,""verified"":false,""status_count"":20695}}","{""longitude"":-4.2417515,""country"":""GB"",""latitude"":55.85839558130999}","{""body"":""@slimbouzin me as well""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":162,""verified"":false,""status_count"":919}}","{""longitude"":-1.5710735,""country"":""GB"",""latitude"":54.984881721800384}","{""body"":""Even in his jeans he's more flexible than me. Harrumph!  https://t.co/tX67Yh8lRa""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":545,""verified"":false,""status_count"":4375}}","{""longitude"":-2.8563455,""country"":""GB"",""latitude"":54.04781511003401}","{""body"":""@amesssx I wish my eyes were open""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":511,""verified"":false,""status_count"":22363}}","{""longitude"":-2.9154269999999998,""country"":""GB"",""latitude"":53.419914903420405}","{""body"":""@AlsBoy it's still sharing with 2 people X""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":3248,""verified"":false,""status_count"":87620}}","{""longitude"":-3.2030084999999997,""country"":""GB"",""latitude"":55.943259273756}","{""body"":""See if you could pay to be skinny and eat whatever you want, I'd pay thousands.""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":868,""verified"":false,""status_count"":112}}","{""longitude"":-1.5654900000000003,""country"":""GB"",""latitude"":53.802038177843606}","{""body"":""@championpolls72 @LUFC yea get in""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":474,""verified"":false,""status_count"":14000}}","{""longitude"":1.155431,""country"":""GB"",""latitude"":51.80044880094318}","{""body"":""@jxysummer_ trust me I know girl x""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":570,""verified"":false,""status_count"":10789}}","{""longitude"":-2.0964385,""country"":""GB"",""latitude"":53.470459172817435}","{""body"":""Bed time I reckon""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1017,""verified"":false,""status_count"":630}}","{""longitude"":-0.0754169,""country"":""GB"",""latitude"":51.5501738}","{""body"":""https://t.co/Acp1LWqT8y prepped for the install @ 1963 gallery space https://t.co/dnE4sagPl0""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":973,""verified"":false,""status_count"":38172}}","{""longitude"":-5.928412999999999,""country"":""GB"",""latitude"":54.59591680133457}","{""body"":""@eddireader Heres one to nod off to then. https://t.co/4M3MDMf14D \nThe #GeniusCohen""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":195,""verified"":false,""status_count"":2701}}","{""longitude"":0.026298999999999996,""country"":""GB"",""latitude"":51.394368557245095}","{""body"":""@SoccerSix #SoccerSixNashGrier 🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼❤️❤️❤️⚽️⚽️⚽️⚽️""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":410,""verified"":false,""status_count"":343}}","{""longitude"":1.2730815,""country"":""GB"",""latitude"":52.64150315634781}","{""body"":""I just can't wait to buy my first takeaway with my own money 👌🏻""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":334,""verified"":false,""status_count"":5527}}","{""longitude"":-1.3439270000000003,""country"":""GB"",""latitude"":53.46316060476729}","{""body"":""@ladymissgnyc i wouldn't buy one! Heard a few whispers in the game there are very arrogant as well""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":7,""verified"":false,""status_count"":21135}}","{""longitude"":-0.227522,""country"":""GB"",""latitude"":51.493104}","{""body"":""Get the most up to date information about broadband in W6 0YP by visiting https://t.co/u5fhq6qObX #broadbandcompareuk #bestbroadband""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":796,""verified"":false,""status_count"":8287}}","{""longitude"":-0.33394250000000003,""country"":""GB"",""latitude"":53.76584968269761}","{""body"":""Finally got round to watching #TopGear enjoyed it! 👍 interesting adding a dirt track to the top gear track""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":2075,""verified"":false,""status_count"":1299}}","{""longitude"":-2.2334800000000006,""country"":""GB"",""latitude"":53.456983702037085}","{""body"":""(My project photo in  University of Bolton website)  https://t.co/5AKVusz1NE""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":398,""verified"":false,""status_count"":27438}}","{""longitude"":-2.4837504999999998,""country"":""GB"",""latitude"":53.728535988425826}","{""body"":""End of the day N-Dubz are a British national treasure""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":985,""verified"":false,""status_count"":15149}}","{""longitude"":0.36056350000000004,""country"":""GB"",""latitude"":51.461926023441826}","{""body"":""Read minds https://t.co/jYOTjoPu7w""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":96,""verified"":false,""status_count"":9367}}","{""longitude"":0.327605,""country"":""GB"",""latitude"":51.14780056865431}","{""body"":""@Zemph I know how you feel in a ghosts player myself""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1153,""verified"":true,""status_count"":11246}}","{""longitude"":-0.10918150000000001,""country"":""GB"",""latitude"":51.546931093541325}","{""body"":""On air in 20""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":397,""verified"":false,""status_count"":23130}}","{""longitude"":-5.928412999999999,""country"":""GB"",""latitude"":54.59591680133457}","{""body"":""Get rekt https://t.co/zs44w8q4mq""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":867,""verified"":false,""status_count"":13434}}","{""longitude"":-0.7156244999999998,""country"":""GB"",""latitude"":52.39592256202304}","{""body"":""Mac > Mxtthiass""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":414,""verified"":false,""status_count"":13406}}","{""longitude"":-2.7016375000000004,""country"":""GB"",""latitude"":53.77411355102777}","{""body"":""This is you @06BMaste 😂😂😂😂😂 https://t.co/BFTN9hMXIP""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":721,""verified"":false,""status_count"":4328}}","{""longitude"":-0.018734000000000008,""country"":""GB"",""latitude"":51.599263128359}","{""body"":""@motherfuton @Adobe definitely. And so it should, the market & need for prototyping tools keeps growing.""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":298,""verified"":false,""status_count"":36188}}","{""longitude"":-2.9154269999999998,""country"":""GB"",""latitude"":53.419914903420405}","{""body"":""@ThatDexterDude Come chill in this call""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":2911,""verified"":false,""status_count"":9852}}","{""longitude"":-3.9271189999999994,""country"":""GB"",""latitude"":51.02295143263842}","{""body"":""@gdogg666 Haha when involved games scare me :) I don't mean the jump scare type I mean seriously freak me out""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":7197,""verified"":false,""status_count"":44096}}","{""longitude"":-1.1722659999999996,""country"":""GB"",""latitude"":52.969744440802685}","{""body"":""Raymond Ibrahim Moment: The Pope Who Gained the World, But Lost His Own Soul. https://t.co/n99UHYKGF6""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":561,""verified"":false,""status_count"":20521}}","{""longitude"":-0.09263300000000001,""country"":""GB"",""latitude"":51.35895133231162}","{""body"":""!!!!!!!  https://t.co/01EafIOTpB""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":167,""verified"":false,""status_count"":36168}}","{""longitude"":-0.252754,""country"":""GB"",""latitude"":51.39781057661456}","{""body"":""@Aldowyn This is same reason that I'm voting to get out of Europe. The stupid laws of physics inflicted on us by Euro bureaucracy! ;)""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":897,""verified"":false,""status_count"":1760}}","{""longitude"":1.302505,""country"":""GB"",""latitude"":51.13241515126608}","{""body"":""A5 @mr_isaacs @katyamuses Healthy eating records with recipes and videos in collaborative @sway #mieexpert""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":2457,""verified"":false,""status_count"":40732}}","{""longitude"":-2.6772815,""country"":""GB"",""latitude"":51.63335610131152}","{""body"":""YouTube on tv ;)  https://t.co/CHibi2walG""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":2983,""verified"":false,""status_count"":16844}}","{""longitude"":-1.5654900000000003,""country"":""GB"",""latitude"":53.802038177843606}","{""body"":""@The_Tardis_Toms @Mr_Pie @MariaPulk @MrMoustacheCat @RosieRoseLA @SquirtTheCat @3coolkatz Always makes me smile :)""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":769,""verified"":false,""status_count"":27547}}","{""longitude"":-0.18919,""country"":""GB"",""latitude"":51.50379309930915}","{""body"":""I wanna go out 🙃""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":794,""verified"":false,""status_count"":12974}}","{""longitude"":-0.19172299999999998,""country"":""GB"",""latitude"":50.83958338001748}","{""body"":""Is it worth it  https://t.co/Jheafw3xOJ""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":521,""verified"":false,""status_count"":117563}}","{""longitude"":0.07886299999999999,""country"":""GB"",""latitude"":51.58500991494593}","{""body"":""444 to 28k""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":342,""verified"":false,""status_count"":22560}}","{""longitude"":-2.7751315,""country"":""GB"",""latitude"":54.07111124598568}","{""body"":""Regretting the 40 winks early evening !""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":350,""verified"":false,""status_count"":3637}}","{""longitude"":-0.3506925,""country"":""GB"",""latitude"":51.46179093953856}","{""body"":""I feel so blessed for those around me and the path in front of me.""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":343,""verified"":false,""status_count"":5798}}","{""longitude"":-1.5215815000000001,""country"":""GB"",""latitude"":55.001164174981014}","{""body"":""@kayshaoneill happy bday Kaysha 🎉x""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":599,""verified"":false,""status_count"":40080}}","{""longitude"":-0.252754,""country"":""GB"",""latitude"":51.39781057661456}","{""body"":""@dirtyprettyart oh ok corel painter, level up? oh like get the 2016 upgrade""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":253,""verified"":false,""status_count"":38808}}","{""longitude"":-1.13067,""country"":""GB"",""latitude"":52.626293532909706}","{""body"":""I'll come you down boih https://t.co/S98kWECfrz""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":5009,""verified"":false,""status_count"":545}}","{""longitude"":-1.08333,""country"":""GB"",""latitude"":51.2667}","{""body"":""Just posted a photo @ Basingstoke https://t.co/5kWWY7nHcU""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":118,""verified"":false,""status_count"":10693}}","{""longitude"":-3.4157315,""country"":""GB"",""latitude"":53.33261512081396}","{""body"":""@Variety @_iron_wang @brielarson Nooooooooooooooooooo!!!!!!!!""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":96,""verified"":false,""status_count"":46793}}","{""longitude"":-1.54416667,""country"":""GB"",""latitude"":54.99944444}","{""body"":""Temp:9.0°C  \nHigh:9.0°C  \nLow:8.9°C\nWind:3.1mph N\nGust:11.4mph\nPressure: 1016.1 \nRain: 0.0mm.  \n#Wallsend""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":469,""verified"":false,""status_count"":738}}","{""longitude"":-1.128591,""country"":""GB"",""latitude"":52.92351685443825}","{""body"":""@gustinfangirls @grantgust @CW_TheFlash I hate waiting for Flash!!! 4 month is just too much!!😩😩😩""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":169,""verified"":false,""status_count"":1194}}","{""longitude"":-0.27846400000000004,""country"":""GB"",""latitude"":51.39007140862319}","{""body"":""okay im going 2 bed I'll delete My Emo Tweets tomorrow im so tired https://t.co/bQky0fi0tt""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":476,""verified"":false,""status_count"":16426}}","{""longitude"":-1.7396194999999999,""country"":""GB"",""latitude"":55.13511300814875}","{""body"":""@MrRufus4 thanks for supporting our stand against @lufthansa and @EndaKennyTD  Stop sending greyhounds to China""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":809,""verified"":false,""status_count"":11461}}","{""longitude"":-1.322,""country"":""GB"",""latitude"":54.5697379277102}","{""body"":""Finally ordered a charging phone case! Much needed when the iPhone battery is so poor #firstworldproblems #lifeoncharge #iphone6plus 📱""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":194,""verified"":false,""status_count"":62354}}","{""longitude"":0.1018167,""country"":""GB"",""latitude"":50.7707461}","{""body"":""Found this great venue 'Seaford Pizza' in Seaford find out more @ https://t.co/L9LiTtkICO #tnc #areacode""}","{""sentiment"":1,""platform"":""twitter""}"
"{""properties"":{""friends"":817,""verified"":false,""status_count"":103019}}","{""longitude"":0.0149895,""country"":""GB"",""latitude"":51.47151451957592}","{""body"":""calmer and less angry. The person is still probably being a dick, but you don't accidentally say something in anger you'll regret later.""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1757,""verified"":false,""status_count"":30787}}","{""longitude"":-1.8906405,""country"":""GB"",""latitude"":52.49405270288055}","{""body"":""@BowmanBowman211 \nNope""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":1,""verified"":false,""status_count"":30878}}","{""longitude"":-0.4675694999999999,""country"":""GB"",""latitude"":51.75228868262215}","{""body"":""Surely a position like UN secretary General would cover a whole lot more than sustainable victim shafting development""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":1530,""verified"":false,""status_count"":10676}}","{""longitude"":-7.312944999999999,""country"":""GB"",""latitude"":55.00619740232842}","{""body"":""Cocktail o clock at Martha's vineyard @MoviebowlDerry Thursday night @Lukey3 @MrLeeBrennan @Hannahprice n crew should come! Crowd of us goin""}","{""sentiment"":0,""platform"":""twitter""}"
"{""properties"":{""friends"":178,""verified"":false,""status_count"":6197}}","{""longitude"":-0.7576450000000001,""country"":""GB"",""latitude"":51.249954412673155}","{""body"":""@tuesdayhill it's what I do best""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":321,""verified"":false,""status_count"":9569}}","{""longitude"":-5.928412999999999,""country"":""GB"",""latitude"":54.59591680133457}","{""body"":""Anyway folk's it's time to bid you all goodnight chara's.""}","{""sentiment"":-1,""platform"":""twitter""}"
"{""properties"":{""friends"":310,""verified"":false,""status_count"":21282}}","{""longitude"":-3.519233500000001,""country"":""GB"",""latitude"":50.391966954517855}","{""body"":""Just fantastic 😆 https://t.co/uVWCIMI2AW""}","{""sentiment"":0,""platform"":""twitter""}"
